sex,age,address,traveltime,studytime,failures,schoolsup,activities,internet,romantic,freetime,goout,Dalc,Walc,health,G3
F,18,U,2,2,0,yes,no,no,no,3,4,1,1,3,11
F,17,U,1,2,0,no,no,yes,no,3,3,1,1,3,11
F,15,U,1,2,0,yes,no,yes,no,3,2,2,3,3,12
F,15,U,1,3,0,no,yes,yes,yes,2,2,1,1,5,14
F,16,U,1,2,0,no,no,no,no,3,2,1,2,5,13
M,16,U,1,2,0,no,yes,yes,no,4,2,1,2,5,13
M,16,U,1,2,0,no,no,yes,no,4,4,1,1,3,13
F,17,U,2,2,0,yes,no,no,no,1,4,1,1,1,13
M,15,U,1,2,0,no,no,yes,no,2,2,1,1,1,17
M,15,U,1,2,0,no,yes,yes,no,5,1,1,1,5,13
F,15,U,1,2,0,no,no,yes,no,3,3,1,2,2,14
F,15,U,3,3,0,no,yes,yes,no,2,2,1,1,4,13
M,15,U,1,1,0,no,yes,yes,no,3,3,1,3,5,12
M,15,U,2,2,0,no,no,yes,no,4,3,1,2,3,13
M,15,U,1,3,0,no,no,yes,yes,5,2,1,1,3,15
F,16,U,1,1,0,no,no,yes,no,4,4,1,2,2,17
F,16,U,1,3,0,no,yes,yes,no,2,3,1,2,2,14
F,16,U,3,2,0,yes,yes,no,no,3,2,1,1,4,14
M,17,U,1,1,3,no,yes,yes,no,5,5,2,4,5,7
M,16,U,1,1,0,no,yes,yes,no,1,3,1,3,5,12
M,15,U,1,2,0,no,no,yes,no,4,1,1,1,1,14
M,15,U,1,1,0,no,no,yes,no,4,2,1,1,5,12
M,16,U,1,2,0,no,yes,yes,no,5,1,1,3,5,14
M,16,U,2,2,0,no,yes,yes,no,4,4,2,4,5,10
F,15,R,1,3,0,yes,yes,yes,no,3,2,1,1,5,10
F,16,U,1,1,0,no,no,yes,no,2,2,1,3,5,12
M,15,U,1,1,0,no,no,yes,no,2,2,1,2,5,12
M,15,U,1,1,0,no,no,yes,no,2,4,2,4,1,11
M,16,U,1,2,0,yes,yes,yes,no,3,3,1,1,5,13
M,16,U,1,2,0,no,yes,yes,yes,4,5,5,5,5,12
M,15,U,1,2,0,no,no,yes,no,4,2,3,4,5,11
M,15,U,2,2,0,no,yes,yes,no,3,1,1,1,5,15
M,15,R,1,2,0,no,yes,yes,yes,5,2,1,1,5,15
M,15,U,1,2,0,no,yes,yes,no,3,2,1,1,2,12
M,16,U,1,1,0,no,no,yes,no,4,3,1,1,5,12
F,15,U,2,1,0,no,yes,no,no,5,1,1,1,5,11
M,15,U,1,3,0,no,yes,yes,no,4,3,1,1,4,14
M,16,R,2,3,0,no,yes,yes,yes,4,3,1,1,5,13
F,15,R,1,3,0,yes,yes,yes,no,3,2,1,1,5,12
F,15,R,1,1,0,yes,yes,no,no,3,1,1,1,2,12
F,16,U,2,2,0,no,yes,yes,yes,3,3,1,2,3,10
M,15,U,1,1,0,no,no,yes,yes,4,3,2,4,5,11
M,15,U,1,2,0,no,yes,yes,no,3,3,1,1,5,15
M,15,U,1,1,0,yes,no,yes,no,4,1,1,1,1,10
F,16,U,2,2,1,yes,yes,yes,no,3,3,2,2,5,11
F,15,U,1,2,0,yes,yes,yes,yes,2,2,1,1,5,11
F,16,U,1,2,0,no,no,yes,no,3,5,1,4,3,13
M,16,U,1,4,0,no,yes,yes,no,2,2,1,1,2,17
M,15,U,1,2,0,no,no,no,no,3,3,2,2,5,13
F,15,U,1,2,0,yes,yes,yes,no,4,4,1,1,3,12
F,16,U,3,2,0,no,no,yes,no,3,3,2,3,4,13
F,15,U,1,2,0,no,no,yes,no,3,3,1,1,5,16
M,15,U,2,1,0,no,no,no,no,5,5,3,4,5,9
F,15,U,1,1,0,yes,no,yes,no,3,4,2,3,5,12
F,15,U,1,1,0,no,no,yes,no,3,4,4,4,1,13
F,16,U,1,2,0,no,yes,yes,yes,3,4,1,1,2,12
F,15,U,1,2,0,no,yes,yes,no,3,2,1,1,1,15
M,15,U,1,2,0,no,yes,no,no,2,2,1,1,5,16
M,15,U,1,2,0,yes,yes,yes,no,3,2,1,1,5,14
F,16,U,1,2,0,no,no,yes,no,2,3,1,1,5,16
F,16,R,1,2,0,no,yes,no,no,4,4,2,3,4,16
F,16,U,4,1,0,yes,yes,yes,yes,5,5,5,5,5,16
F,16,U,1,2,0,yes,yes,yes,no,4,3,1,1,1,10
F,16,U,1,3,0,yes,yes,yes,no,4,4,2,4,4,13
F,15,U,1,2,0,yes,yes,yes,yes,4,4,2,4,2,12
F,16,U,3,2,0,no,yes,yes,no,4,3,1,2,1,16
M,15,U,1,4,0,no,yes,yes,yes,3,3,5,5,3,12
F,16,U,1,4,0,yes,no,yes,no,3,3,1,2,5,10
F,15,R,2,2,0,yes,no,yes,no,1,3,1,3,4,11
F,15,R,2,4,0,no,no,yes,no,4,2,2,3,3,15
M,16,U,2,4,0,no,no,yes,no,3,2,1,1,5,11
M,15,U,1,4,0,no,no,yes,no,3,3,1,1,3,10
F,15,R,1,2,0,yes,no,yes,yes,3,4,2,4,5,11
M,16,U,1,1,0,no,yes,no,no,3,2,2,2,5,14
F,16,U,1,2,0,yes,yes,yes,no,3,3,2,4,5,11
M,15,U,1,2,0,no,yes,yes,no,3,3,2,3,5,11
M,15,U,2,4,0,no,yes,yes,no,4,3,1,1,1,11
F,16,U,1,4,0,no,no,yes,yes,2,3,1,3,3,13
M,17,U,2,1,3,yes,yes,yes,no,5,1,1,1,3,10
F,16,U,1,2,0,no,no,yes,no,4,3,1,2,3,11
M,15,U,1,1,0,yes,yes,yes,yes,2,2,1,3,3,12
M,15,U,1,3,0,yes,no,yes,no,3,2,1,2,5,9
F,15,U,1,2,0,no,no,yes,no,4,4,1,1,5,11
M,15,U,2,2,0,no,yes,yes,no,3,3,1,3,4,13
F,15,U,1,2,0,no,yes,yes,no,3,2,2,3,4,12
F,15,U,2,2,0,no,no,yes,yes,4,4,2,3,5,12
F,16,U,1,2,0,no,no,no,no,3,4,1,2,2,11
F,15,U,1,3,0,no,yes,yes,no,3,3,1,3,1,15
M,16,U,2,2,0,no,yes,yes,no,4,2,1,1,3,11
M,16,U,1,2,0,no,no,no,no,1,3,3,5,5,10
F,16,U,1,3,0,no,no,yes,yes,3,3,1,3,4,11
F,15,U,1,1,0,no,yes,yes,no,5,5,1,3,1,13
F,16,U,1,2,0,yes,no,no,no,3,3,2,3,2,12
F,16,U,2,2,0,no,yes,yes,no,3,3,1,1,1,14
M,15,U,1,4,0,no,yes,yes,no,3,4,1,1,4,12
F,15,R,2,4,0,yes,yes,yes,no,1,2,1,1,1,13
M,16,R,2,1,0,yes,yes,yes,no,3,3,1,1,4,11
F,16,U,1,2,0,no,no,no,yes,3,5,1,1,5,12
F,16,U,1,1,0,no,yes,yes,no,3,4,1,2,1,13
F,16,U,1,3,0,yes,no,yes,no,3,5,1,1,3,13
M,16,U,1,1,0,yes,yes,yes,no,5,5,5,5,4,8
M,16,U,1,3,0,no,yes,yes,yes,4,3,1,1,4,16
M,15,U,1,1,0,no,yes,yes,no,3,3,1,1,5,12
F,15,U,2,2,0,yes,no,yes,no,3,5,1,1,2,10
M,15,U,1,2,0,no,yes,yes,no,4,4,1,1,1,16
F,15,U,1,4,0,yes,no,no,no,3,3,1,1,4,10
F,15,U,1,4,0,yes,no,yes,no,1,2,1,1,3,10
M,16,U,1,3,0,no,yes,yes,no,3,3,1,1,5,14
M,15,R,4,4,0,no,yes,yes,yes,3,5,3,5,1,11
F,16,U,1,3,0,no,yes,yes,yes,4,5,1,1,4,14
M,15,U,1,1,0,no,yes,yes,no,5,3,1,1,4,14
F,16,R,1,3,0,yes,yes,yes,no,1,2,1,1,2,11
F,16,U,1,2,1,yes,yes,yes,no,1,2,1,1,5,10
M,15,U,1,1,0,no,no,yes,no,5,2,1,1,3,18
M,15,R,1,2,0,no,yes,yes,yes,4,2,1,1,5,10
M,16,U,1,2,0,no,yes,yes,no,4,4,1,2,5,14
M,15,U,2,2,0,no,yes,no,no,4,3,1,1,2,16
M,16,U,2,1,0,no,yes,yes,no,4,2,1,1,5,15
M,17,R,3,2,1,no,yes,yes,no,2,4,1,4,5,11
M,15,U,1,1,0,no,no,yes,no,4,3,1,2,4,14
F,15,U,1,2,0,no,no,yes,no,2,3,1,2,1,14
M,15,U,1,4,0,no,yes,yes,no,5,4,1,2,5,13
F,16,U,2,2,0,no,yes,yes,yes,2,2,1,2,5,13
M,16,U,1,1,0,no,yes,yes,no,4,4,1,4,5,13
F,16,U,1,2,0,no,no,yes,yes,4,4,1,1,5,11
M,15,U,1,1,0,yes,no,yes,no,5,5,3,2,5,9
F,15,U,1,2,0,yes,yes,yes,yes,3,2,1,1,1,11
F,19,U,1,2,2,no,no,no,no,4,2,1,1,5,11
M,16,R,1,1,0,no,yes,yes,no,5,5,2,5,4,15
M,16,U,2,3,0,no,no,yes,yes,2,3,2,2,1,13
F,15,R,2,3,0,no,no,yes,yes,2,2,2,2,5,12
F,18,U,1,2,3,no,yes,yes,yes,4,5,1,3,5,8
F,17,U,3,1,0,no,no,yes,no,2,2,1,2,5,11
F,15,U,3,1,0,no,yes,yes,yes,3,3,1,2,4,13
F,17,U,1,1,0,no,no,yes,yes,4,4,1,3,5,12
F,16,U,1,1,0,no,no,yes,no,2,1,1,4,5,14
M,16,U,4,1,0,no,no,no,no,2,1,1,1,2,11
F,16,U,1,1,1,no,no,no,no,3,4,1,1,5,11
M,15,R,4,2,0,no,no,no,yes,3,3,1,1,5,11
F,15,U,1,3,0,no,yes,yes,yes,3,3,1,1,5,15
M,17,R,3,2,0,no,no,no,no,4,5,2,4,5,10
F,16,R,4,2,0,no,no,no,no,1,3,1,1,3,13
M,18,U,2,1,0,no,yes,yes,yes,3,4,4,5,4,12
F,18,U,1,3,0,no,yes,yes,yes,3,3,5,1,5,11
F,16,R,2,1,0,no,yes,no,yes,3,3,1,2,1,11
F,16,U,2,1,0,no,yes,yes,yes,3,2,1,1,5,10
M,16,U,1,2,2,no,no,no,yes,4,4,1,3,5,10
F,15,U,2,1,0,no,yes,yes,no,3,2,1,1,5,14
F,15,R,3,1,1,no,yes,yes,yes,5,5,1,1,1,9
M,15,U,2,4,0,yes,no,yes,no,2,2,1,1,3,11
F,15,U,1,2,0,no,no,no,yes,3,2,2,3,1,9
M,16,U,1,3,0,no,yes,yes,no,3,3,1,3,5,13
M,16,U,2,1,0,no,yes,yes,no,3,3,2,2,2,11
F,15,U,1,3,0,no,yes,yes,no,2,2,1,1,5,13
F,16,U,1,1,0,no,no,yes,no,4,4,3,3,1,11
M,17,U,1,1,0,no,no,yes,no,4,5,1,2,5,6
F,15,U,1,2,0,no,no,yes,no,4,2,1,2,5,12
F,15,U,2,1,0,no,yes,yes,yes,4,2,1,1,5,10
F,15,U,1,2,1,no,no,yes,no,3,2,1,1,3,11
F,15,U,1,2,0,no,no,yes,no,3,2,1,1,5,13
F,15,U,1,2,0,no,no,no,yes,3,4,2,4,1,11
M,16,U,1,1,0,no,no,yes,yes,3,2,2,1,5,8
M,15,U,4,1,0,no,no,yes,no,5,5,2,5,5,11
M,18,U,1,1,2,no,no,yes,yes,3,5,2,5,4,0
M,16,U,1,1,1,no,yes,no,yes,4,4,3,5,5,10
F,15,R,2,3,0,no,yes,yes,yes,2,1,2,3,3,13
M,19,U,1,1,0,no,no,yes,yes,5,4,1,1,4,11
F,17,U,1,1,0,yes,no,no,yes,2,1,1,1,4,13
M,15,R,1,2,0,yes,yes,no,no,4,4,1,1,1,8
M,17,R,1,1,3,no,no,no,no,2,2,3,3,5,10
F,18,R,3,1,3,no,yes,no,no,2,5,1,5,4,11
M,16,R,3,1,0,no,no,no,no,2,2,1,2,3,11
M,16,U,1,2,1,no,no,yes,yes,5,5,4,4,5,1
M,16,U,2,1,2,no,no,yes,no,4,5,3,5,5,10
M,17,R,2,1,1,no,yes,yes,yes,3,2,2,2,5,9
M,17,R,2,2,2,yes,no,yes,yes,4,4,1,4,3,8
M,15,U,2,1,0,no,yes,no,no,4,4,2,4,5,10
M,16,U,1,1,1,no,no,yes,no,3,3,1,4,2,8
M,17,R,4,2,0,no,yes,no,yes,3,5,1,5,5,8
M,17,U,2,1,3,no,yes,no,no,5,2,1,1,2,8
M,16,U,1,2,0,no,no,yes,no,3,5,2,4,4,11
F,16,U,1,2,0,no,no,yes,yes,2,3,1,1,3,18
F,16,U,1,2,0,no,no,yes,no,1,5,1,1,4,13
F,16,U,1,2,0,no,no,yes,yes,4,2,1,1,3,17
M,16,U,3,1,1,no,yes,yes,no,4,5,2,4,2,10
M,16,U,2,2,0,no,yes,yes,yes,3,2,1,1,3,18
M,17,U,1,2,0,no,yes,yes,no,4,4,1,3,5,10
F,16,U,1,2,0,no,yes,yes,yes,3,5,1,1,3,13
F,16,U,2,2,0,no,yes,yes,no,4,5,1,1,4,15
M,17,U,2,2,0,no,yes,yes,no,4,4,4,4,4,11
F,16,U,2,2,0,no,yes,yes,no,4,4,1,4,5,14
M,17,U,1,2,0,no,yes,yes,no,3,4,1,4,4,10
M,16,R,1,1,0,no,yes,yes,yes,3,3,3,4,3,11
M,17,U,1,2,0,no,yes,yes,yes,2,3,1,1,2,13
M,16,U,1,2,0,no,yes,yes,no,4,3,2,3,3,11
M,16,U,1,2,0,no,yes,yes,yes,2,3,1,2,3,13
F,17,U,1,2,0,no,yes,no,no,4,2,2,3,5,17
F,17,U,1,2,0,no,yes,yes,yes,3,3,2,3,1,14
F,16,U,1,2,0,no,no,yes,no,2,2,1,2,1,16
M,17,U,1,2,0,no,yes,yes,yes,3,4,2,3,4,14
M,16,U,1,1,0,no,yes,yes,yes,3,3,1,2,3,11
M,16,U,1,2,0,no,yes,yes,yes,2,3,1,2,5,16
F,17,U,1,2,0,no,no,yes,yes,3,3,1,3,3,14
M,17,R,1,2,0,no,no,no,no,1,3,1,5,3,10
F,16,U,1,2,0,no,no,yes,no,3,3,1,1,2,13
F,17,U,1,2,0,no,yes,yes,no,3,3,1,1,3,12
M,17,U,2,2,0,no,yes,yes,no,4,4,4,5,5,12
M,16,R,1,1,0,no,yes,yes,no,3,2,3,4,5,10
M,16,U,2,1,0,no,no,yes,no,3,3,1,1,3,12
F,17,U,1,2,0,no,yes,yes,yes,3,2,1,1,5,16
M,17,U,1,1,0,no,no,yes,no,2,3,1,2,5,14
M,16,R,3,1,0,no,yes,yes,no,3,4,3,5,3,12
F,17,U,2,1,1,no,no,yes,no,2,4,2,3,2,16
F,16,U,1,2,0,no,no,yes,no,5,2,1,2,3,11
F,16,U,1,2,0,no,yes,yes,no,3,5,1,5,2,15
F,16,U,1,2,0,yes,yes,no,no,4,3,1,3,4,12
F,17,U,1,2,0,no,no,no,no,4,4,1,3,1,15
F,17,R,1,1,0,no,no,yes,no,3,2,1,2,3,13
F,16,R,2,4,0,no,yes,yes,no,3,5,1,1,5,13
F,17,U,1,3,1,no,no,yes,yes,4,3,3,4,5,8
F,16,U,1,2,0,no,no,yes,no,3,3,2,2,4,12
F,16,U,1,2,0,no,yes,yes,yes,3,2,1,1,1,15
F,16,U,2,1,0,no,no,no,no,3,2,1,4,5,13
F,17,R,2,3,0,no,yes,yes,yes,4,2,1,1,4,12
F,19,U,1,4,0,no,yes,yes,no,3,3,1,2,3,12
M,17,U,1,2,0,no,no,yes,yes,3,5,4,5,3,12
F,16,U,1,2,0,yes,no,yes,no,3,4,1,1,4,13
M,18,U,1,2,0,no,yes,yes,no,4,4,2,4,5,11
F,17,R,1,1,0,no,no,no,no,2,1,1,2,3,11
F,17,U,2,2,0,no,no,yes,no,4,4,1,3,1,15
F,17,U,1,2,0,no,no,yes,yes,4,5,2,4,1,10
M,18,U,1,2,0,no,no,yes,no,2,4,2,4,4,10
F,17,U,2,1,0,no,no,no,no,3,3,1,4,3,13
F,17,U,1,3,0,no,yes,yes,no,3,3,1,1,4,13
F,17,R,2,2,0,no,yes,yes,no,2,5,1,2,5,11
F,17,U,1,3,0,no,yes,no,yes,3,4,1,1,5,12
F,16,U,1,2,0,yes,no,yes,no,3,1,1,1,3,14
M,18,U,2,2,3,no,no,yes,no,3,3,5,5,4,10
F,16,U,1,3,0,no,yes,yes,no,3,2,1,1,5,16
F,18,R,1,2,0,no,yes,yes,yes,3,3,1,1,4,8
F,17,U,1,2,0,no,yes,yes,no,3,4,1,3,3,17
M,17,U,1,2,0,no,no,yes,no,3,3,1,3,3,11
M,18,U,4,2,0,yes,yes,yes,yes,3,2,4,5,3,11
F,17,U,2,3,0,no,yes,yes,yes,2,3,1,2,3,16
F,17,U,1,2,0,no,yes,yes,yes,2,3,1,2,3,12
M,17,R,2,2,0,no,yes,yes,no,5,2,1,1,1,13
M,17,U,1,2,0,yes,yes,yes,yes,5,5,1,3,2,13
M,16,U,1,2,0,no,yes,yes,no,2,4,2,4,1,14
M,16,U,2,2,0,no,no,yes,no,4,2,1,1,5,9
M,16,U,2,3,0,no,yes,yes,yes,3,3,1,3,2,12
M,17,U,1,2,0,no,yes,yes,yes,4,2,5,5,4,16
F,16,U,1,1,0,no,no,yes,yes,5,2,1,1,5,10
F,16,U,1,2,0,no,yes,yes,yes,3,3,1,2,5,13
F,18,U,2,2,1,no,no,yes,no,3,3,1,1,3,10
F,18,U,1,2,1,no,no,yes,yes,3,1,1,1,5,10
F,18,U,2,1,1,no,no,yes,no,1,1,1,1,3,7
M,18,U,1,1,1,no,yes,yes,yes,4,3,2,2,1,8
M,17,U,1,1,0,no,yes,yes,no,2,1,1,2,5,9
F,17,U,1,2,0,no,yes,no,no,4,2,1,1,3,15
F,17,U,1,3,0,no,yes,yes,yes,3,2,1,2,4,10
F,16,U,1,1,0,no,no,yes,no,3,5,1,2,5,11
F,17,R,3,2,0,no,yes,no,no,1,1,1,1,3,13
F,17,R,4,1,1,no,no,yes,no,5,4,1,1,5,8
M,18,U,1,2,0,no,no,yes,no,5,4,3,5,2,8
F,17,U,1,1,1,no,no,yes,no,1,2,1,1,1,10
F,17,R,2,3,0,no,yes,yes,no,3,3,1,3,5,15
F,17,U,1,2,0,no,yes,no,no,3,2,1,1,4,14
M,17,U,2,2,0,no,yes,yes,yes,5,5,1,4,5,15
M,17,R,2,2,0,no,no,yes,no,3,3,2,3,4,12
M,16,U,1,1,0,no,yes,yes,no,4,5,1,1,3,15
M,16,U,1,1,0,no,yes,yes,no,3,2,1,2,5,15
F,17,U,1,2,0,no,no,yes,yes,3,1,1,4,5,12
M,17,R,2,3,0,no,no,yes,yes,3,3,1,1,1,15
F,17,U,2,3,0,no,no,yes,yes,2,2,2,3,5,11
F,17,U,1,2,0,yes,no,no,yes,3,2,1,1,4,10
F,18,U,2,3,0,no,no,yes,yes,4,4,1,1,3,11
M,16,U,3,1,0,no,no,yes,no,3,3,1,1,4,16
F,17,U,1,2,0,no,no,no,no,3,4,1,2,5,11
M,17,U,2,1,0,no,no,yes,no,2,2,1,1,2,13
M,22,U,1,1,3,no,no,yes,yes,4,5,5,5,1,5
M,18,R,1,2,0,no,no,yes,yes,3,3,1,3,5,10
M,16,U,1,1,0,no,no,yes,no,3,2,2,4,5,11
M,18,U,2,1,0,no,no,yes,no,4,5,2,4,5,7
M,16,U,3,2,1,yes,no,yes,no,3,3,1,3,2,10
M,18,U,1,1,2,no,no,yes,no,2,5,2,5,5,6
M,16,R,2,1,0,no,yes,no,no,3,2,1,3,3,12
M,17,R,1,1,0,no,no,yes,no,4,2,2,4,5,13
M,17,U,2,1,1,no,yes,yes,no,4,4,1,2,5,10
F,18,U,1,2,0,no,no,yes,yes,3,4,1,3,5,13
F,17,U,1,4,0,no,yes,yes,no,2,3,1,1,4,17
F,19,U,1,2,0,no,no,yes,no,3,3,1,1,5,11
M,18,U,3,2,1,no,yes,yes,no,4,5,4,4,5,11
F,17,R,1,3,0,no,yes,yes,no,3,4,1,3,5,14
F,18,U,1,3,0,no,no,no,no,4,3,2,3,3,14
F,18,R,1,2,0,yes,no,no,no,2,3,1,1,5,13
M,19,U,1,2,0,no,no,yes,no,3,1,1,1,1,14
M,18,U,1,2,0,no,yes,yes,no,2,4,1,2,4,16
M,17,R,2,1,0,no,no,no,no,2,2,1,1,4,10
F,17,U,1,4,0,no,yes,yes,yes,4,1,1,1,2,12
F,20,R,2,2,0,no,yes,yes,yes,2,3,1,2,2,12
F,18,U,1,2,0,no,no,yes,yes,1,2,1,3,2,15
M,18,U,1,2,0,no,no,yes,no,3,2,1,1,3,11
M,18,R,1,3,0,no,yes,no,no,3,2,1,1,3,12
F,17,U,1,3,0,no,yes,no,no,2,3,1,1,4,13
F,18,U,1,3,0,no,yes,yes,yes,3,3,1,1,3,13
M,17,U,2,1,0,no,no,yes,no,4,4,2,3,4,9
M,18,R,2,2,0,no,yes,yes,no,2,5,3,4,1,16
M,17,U,1,2,0,no,yes,yes,yes,4,4,3,4,5,14
F,18,R,2,2,0,no,yes,yes,no,3,4,2,2,4,12
M,18,U,1,2,0,no,yes,yes,yes,4,5,1,3,5,14
F,18,R,2,2,0,no,no,yes,yes,3,5,1,2,3,10
F,19,U,1,2,0,no,yes,yes,no,3,5,3,3,5,12
F,18,U,1,4,0,no,yes,yes,yes,5,5,1,3,2,16
F,18,U,2,2,0,no,no,no,no,4,3,1,1,3,13
M,17,R,1,2,0,no,yes,no,yes,5,2,2,2,1,18
F,18,U,1,2,0,no,no,yes,yes,2,5,1,2,1,15
F,17,U,2,2,0,no,no,yes,yes,3,3,1,1,1,16
F,17,U,2,2,0,yes,no,yes,yes,4,4,2,3,5,12
F,18,R,2,2,0,no,no,yes,yes,1,1,1,1,5,10
M,18,U,2,1,0,no,yes,yes,no,2,4,1,4,3,12
F,18,U,1,2,1,yes,yes,yes,yes,4,4,1,1,4,13
